timestamp,x_cam,y_cam,theta_cam,vL,vR
1764515506.8012002,414.0,269.5,-1.3415644,0.0,0.0
1764515506.834534,414.0,269.5,-1.3415644,0.0,0.0
1764515506.867868,414.0,269.5,-1.3415644,0.0,0.0
1764515506.901202,414.0,269.5,-1.3415644,0.0,0.0
1764515506.934536,414.0,269.5,-1.3415644,0.0,0.0
1764515506.96787,414.0,269.5,-1.3415644,0.0,0.0
1764515507.001204,414.0,269.5,-1.3415644,0.0,0.0
1764515507.034538,414.0,269.5,-1.3415644,0.0,0.0
1764515507.067872,414.25,269.75,-1.3608228,0.0,0.0
1764515507.101206,414.0,269.5,-1.3415644,0.0,0.0
1764515507.13454,414.0,269.5,-1.3415644,0.0,0.0
1764515507.167874,414.25,269.75,-1.3608228,0.0,0.0
1764515507.201208,414.0,269.5,-1.3415644,0.0,0.0
1764515507.2345421,414.0,269.5,-1.3415644,0.0,0.0
1764515507.2678761,414.0,269.5,-1.3415644,0.0,0.0
1764515507.3012102,414.0,269.5,-1.3415644,0.0,0.0
1764515507.334544,414.0,269.5,-1.3415644,0.0,0.0
1764515507.367878,414.0,269.5,-1.3415644,0.0,0.0
1764515507.401212,414.0,269.5,-1.3415644,0.0,0.0
1764515507.434546,414.0,269.5,-1.3415644,0.0,0.0
1764515507.46788,414.0,269.5,-1.3415644,0.0,0.0
