timestamp,x_cam,y_cam,theta_cam,vL,vR
1764516111.702781,608.75,248.5,-2.863293,33,29
1764516111.736115,608.0,248.5,-2.8590376,33,29
1764516111.7906299,607.5,247.75,-2.881963,33,29
1764516111.8239639,606.75,247.5,-2.863293,33,29
1764516111.857298,606.5,247.5,-2.8590376,33,29
1764516111.890632,605.5,247.0,-2.8674252,33,29
1764516111.928446,604.75,246.5,-2.863293,33,29
1764516111.965066,604.25,246.5,-2.863293,33,29
1764516111.9984,603.75,246.5,-2.863293,33,29
1764516112.0318878,603.25,246.5,-2.863293,33,29
1764516112.0652218,602.75,246.0,-2.863293,33,29
1764516112.0985558,602.5,245.75,-2.8442276,33,29
1764516112.1318898,601.5,245.75,-2.8442276,33,29
1764516112.1652238,601.0,245.5,-2.8387077,33,29
1764516112.1985579,600.5,245.25,-2.8442276,33,29
1764516112.2318919,600.0,245.0,-2.8674252,33,29
1764516112.265226,599.5,244.75,-2.8442276,33,29
1764516112.29856,599.0,244.5,-2.8387077,33,29
1764516112.3341298,598.5,244.25,-2.8442276,33,29
1764516112.369591,598.0,244.0,-2.8674252,33,29
1764516112.402925,597.5,243.75,-2.8442276,33,29
1764516112.436259,596.75,243.5,-2.8341951,33,29
1764516112.469593,596.5,243.5,-2.8295505,33,29
1764516112.502927,595.75,243.5,-2.8341951,33,29
1764516112.536261,595.5,242.75,-2.8442276,33,29
1764516112.5695949,595.25,242.5,-2.8341951,33,29
1764516112.6029289,594.5,242.5,-2.8295505,33,29
1764516112.636263,593.75,242.5,-2.8341951,33,29
1764516112.669597,593.25,241.5,-2.8341951,33,29
1764516112.702931,593.0,241.5,-2.8295505,33,29
1764516112.736265,592.25,241.5,-2.8341951,33,29
1764516112.769599,591.75,241.5,-2.8341951,33,29
1764516112.802933,591.25,241.25,-2.819842,33,29
1764516112.836267,591.0,240.5,-2.8295505,33,29
1764516112.869601,590.25,240.5,-2.8341951,33,29
1764516112.902935,590.0,240.5,-2.8295505,33,29
1764516112.936269,589.0,240.5,-2.8295505,33,29
1764516112.969603,589.0,239.75,-2.8150113,33,29
1764516113.002937,588.0,239.5,-2.8295505,33,29
1764516113.036271,588.0,239.5,-2.8295505,33,29
1764516113.069605,587.0,239.25,-2.8150113,33,29
1764516113.102939,587.0,239.0,-2.8006136,33,29
1764516113.136273,586.0,238.5,-2.8295505,33,29
1764516113.169607,586.0,238.75,-2.8150113,33,29
1764516113.202941,585.0,238.25,-2.8150113,33,29
1764516113.236275,584.5,238.0,-2.8006136,33,29
1764516113.269609,584.0,238.0,-2.8006136,33,29
1764516113.302943,584.0,237.75,-2.8150113,33,29
1764516113.336277,583.0,237.25,-2.8150113,33,29
1764516113.369611,582.5,237.0,-2.8006136,33,29
1764516113.402945,582.0,237.0,-2.8006136,33,29
1764516113.436279,581.5,236.5,-2.8006136,33,29
